contract_ticker,etf,contract_type,event_kind,sector,n_trades,activity,reliability,cal_kpos_05,cal_kneg_05,cal_kpos_10,cal_kneg_10,cal_kpos_15,cal_kneg_15,ev_kpos_05,ev_kneg_05,ev_kpos_10,ev_kneg_10,ev_kpos_15,ev_kneg_15,kpos_05,kneg_05,kpos_10,kneg_10,kpos_15,kneg_15,sig_kalshi_leads,sig_etf_leads,sig_total,lean_05,lean_10,lean_15,lean,probit_kalshi_leads,probit_etf_leads
KXECKH276,VFH,Election,Sharp(one-shot),Financials,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0
KXECDJT316,VFH,Election,Sharp(one-shot),Financials,59,Medium(50-300),Very-low-info,0,1,0,3,0,3,0,0,0,0,0,0,0,1,0,3,0,3,0,1,3,ETF-leads,ETF-leads,ETF-leads,ETF-leads,0,0
KXECKH276,VIS,Election,Sharp(one-shot),Industrials,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0
538APPROVEMAX-24OCT31-T43,VOX,Approval,Continuous,Comm,11,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KXAAAGASM-24NOV30-US-3.30,VFH,GasPrice,Continuous,Financials,14,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
RATECUT-24SEP18,VCR,Rates(FOMC),Sharp(one-shot),Cons.Disc,53,Medium(50-300),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KXECKH287,VNQ,Election,Sharp(one-shot),Real-Estate,39,Sparse(<50),Very-low-info,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,Kalshi-leads,Kalshi-leads,Kalshi-leads,Kalshi-leads,0,0
KXECKH276,VCR,Election,Sharp(one-shot),Cons.Disc,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0
FEDDECISION-24SEP-C25,VDC,Rates(FOMC),Sharp(one-shot),Cons.Staples,1125,Active(>300),Adequate,0,0,0,1,1,1,0,1,0,1,1,1,0,1,0,2,2,2,0,1,4,ETF-leads,ETF-leads,Balanced/mixed,Balanced/mixed,2,3
KXECKH276,VDE,Election,Sharp(one-shot),Energy,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0
AAAGASM-24SEP30-US-3.15,VIS,GasPrice,Continuous,Industrials,24,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
AAAGASM-24SEP30-US-3.15,VGT,GasPrice,Continuous,Info-Tech,24,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KXAAAGASM-24NOV30-US-3.30,VDE,GasPrice,Continuous,Energy,14,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KXECKH276,VOX,Election,Sharp(one-shot),Comm,43,Sparse(<50),Very-low-info,2,2,2,3,2,3,0,3,1,3,2,3,2,5,3,6,4,6,2,5,10,ETF-leads,ETF-leads,ETF-leads,ETF-leads,0,0
KXECKH276,VGT,Election,Sharp(one-shot),Info-Tech,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0
KXAAAGASM-24NOV30-US-3.30,VDC,GasPrice,Continuous,Cons.Staples,14,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
AAAGASM-24SEP30-US-3.15,VAW,GasPrice,Continuous,Materials,24,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KXECKH276,VDC,Election,Sharp(one-shot),Cons.Staples,43,Sparse(<50),Very-low-info,3,3,3,3,3,3,0,0,0,0,0,0,3,3,3,3,3,3,3,3,6,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0
AAAGASM-24OCT31-US-3.20,VHT,GasPrice,Continuous,Health,44,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KXECDJT316,VIS,Election,Sharp(one-shot),Industrials,59,Medium(50-300),Very-low-info,1,2,1,2,1,2,0,0,0,0,0,0,1,2,1,2,1,2,1,2,3,ETF-leads,ETF-leads,ETF-leads,ETF-leads,0,0
KXECDJT316,VDE,Election,Sharp(one-shot),Energy,59,Medium(50-300),Very-low-info,1,0,2,1,2,1,0,0,0,0,0,0,1,0,2,1,2,1,1,0,3,Kalshi-leads,Kalshi-leads,Kalshi-leads,Kalshi-leads,0,0
KXAAAGASM-24NOV30-US-3.30,VNQ,GasPrice,Continuous,Real-Estate,14,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KX538APPROVEMAX-24NOV30-T41,VGT,Approval,Continuous,Info-Tech,22,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
RATECUT-24SEP18,VOX,Rates(FOMC),Sharp(one-shot),Comm,53,Medium(50-300),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
AAAGASM-24SEP30-US-3.15,VCR,GasPrice,Continuous,Cons.Disc,24,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
KXECKH276,VAW,Election,Sharp(one-shot),Materials,43,Sparse(<50),Very-low-info,2,2,2,2,2,2,0,0,0,0,0,0,2,2,2,2,2,2,2,2,4,Balanced/mixed,Balanced/mixed,Balanced/mixed,Balanced/mixed,0,0
AAAGASM-24SEP30-US-3.15,VOX,GasPrice,Continuous,Comm,24,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
538APPROVEMAX-24SEP30-T43,VAW,Approval,Continuous,Materials,30,Sparse(<50),Cannot-estimate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No-sig-lead,No-sig-lead,No-sig-lead,No-sig-lead,0,0
